source_user_id,source_username,source_instance,target_user_id,created_at,snapshot,edge_type
109258655712007480,TCatInReality,mastodon.social,108196081869220237,2026-04-06T08:41:05.669Z,Snapshot 3 — Current State (2024–2026),reply
109501328959402910,sloanlance,mastodon.social,109208442152198181,2025-01-30T14:13:14.206Z,Snapshot 3 — Current State (2024–2026),reply
113794989945872182,usuckandyouknowit,mastodon.social,109726435281568864,2025-01-10T15:08:18.160Z,Snapshot 3 — Current State (2024–2026),reply
113358600136409118,j_j,muenchen.social,111708611203523729,2025-01-02T16:44:59.000Z,Snapshot 3 — Current State (2024–2026),reply
110801326762398785,TheManyVoices,mastodon.social,330144,2024-11-21T05:22:47.990Z,Snapshot 3 — Current State (2024–2026),reply
109809617328670988,AnneTheWriter1,universeodon.com,109446486061613979,2024-11-18T15:44:12.000Z,Snapshot 3 — Current State (2024–2026),reply
109301897950152295,bornach,masto.ai,1135273,2024-11-14T16:07:21.000Z,Snapshot 3 — Current State (2024–2026),reply
109809617328670988,AnneTheWriter1,universeodon.com,110707184390925091,2024-11-14T05:54:11.000Z,Snapshot 3 — Current State (2024–2026),reply
109726435281568864,mho,social.heise.de,112421479443760288,2024-11-08T09:12:17.000Z,Snapshot 3 — Current State (2024–2026),reply
109301897950152295,bornach,masto.ai,471607,2024-08-27T07:26:47.000Z,Snapshot 3 — Current State (2024–2026),reply
109298426354779236,sshann,mas.to,112402546841117244,2024-08-15T02:45:09.000Z,Snapshot 3 — Current State (2024–2026),reply
107254990211554027,jupiter_rowland,hub.netzgemeinde.eu,111858032789515321,2024-08-08T14:48:09.000Z,Snapshot 3 — Current State (2024–2026),reply
111709275011378203,Heinzenstein,f-ckendehoelle.de,109432495891353244,2024-07-26T14:21:37.000Z,Snapshot 3 — Current State (2024–2026),reply
109346575901795276,DopeGhoti,infosec.exchange,598569,2024-03-22T23:08:04.000Z,Snapshot 3 — Current State (2024–2026),reply
109580966307231917,GCHRD,newsie.social,110023568395961834,2025-02-02T02:21:40.000Z,Snapshot 3 — Current State (2024–2026),reply
674847,colincogle,mastodon.social,109393927490610657,2023-07-24T12:40:49.960Z,Snapshot 2 — Post Settling (2023),reply
109393927490610657,Ove,uddannelse.social,108243749219121697,2023-07-07T13:30:02.000Z,Snapshot 2 — Post Settling (2023),reply
109368058611063921,bronakins,sfba.social,109256655744212204,2023-03-27T02:44:12.000Z,Snapshot 2 — Post Settling (2023),reply
109553756369819484,lelanicarver,universeodon.com,109393453949258512,2023-01-07T12:20:22.000Z,Snapshot 2 — Post Settling (2023),reply
109297352604251910,nbwpuk,infosec.exchange,109369595761332032,2022-12-31T01:37:06.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
1088623,torstengrieger,gruene.social,1084403,2022-12-20T19:24:33.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
109513262095135617,iberk,muenster.im,108147340261428201,2022-12-18T13:21:41.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
108419778847018858,christophbegall,toot.kif.rocks,449871,2022-12-10T07:27:07.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
109440589924852484,jbm,ohai.social,109287395830443240,2022-12-02T22:36:16.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
109291436320115165,BenAveling,infosec.exchange,109291868108640553,2022-11-24T22:26:27.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
109286116724609859,robdolin,indieweb.social,109302669704066119,2022-11-21T21:52:13.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
109367092564330752,agb253,mstdn.party,109348251488875193,2022-11-18T21:59:03.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
109300047430772453,jshashek,mastodon.online,1,2022-11-07T01:41:29.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
109253648281573361,Jo2sn,mastodon.social,109244962271115200,2022-11-05T14:05:08.279Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
109274903346815759,IanDBurrell,mastodon.sdf.org,958614,2022-11-02T16:05:05.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
108194011440009307,AstridSawatzky,mastodon.social,108284826084909294,2022-10-30T09:28:54.881Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
106216830089917499,waifu,waifuism.life,106729323989933721,2022-10-28T14:00:43.067Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
111599935990028525,thefierceindependent,mas.to,109355700962815786,2023-12-23T01:50:28.000Z,Snapshot 2 — Post Settling (2023),reply
109304844535651088,intermobility,toot.community,109240704376674552,2023-10-05T20:46:28.000Z,Snapshot 2 — Post Settling (2023),reply
109288349346919196,CJP,mastodon.me.uk,109320668066446174,2023-09-09T10:15:29.000Z,Snapshot 2 — Post Settling (2023),reply
110770552665987336,DavidW,poweredbygay.social,110538782775734183,2023-07-27T20:01:27.000Z,Snapshot 2 — Post Settling (2023),reply
109331157923154730,Jon6705,mastodon.world,109327150548982522,2023-07-24T11:04:15.000Z,Snapshot 2 — Post Settling (2023),reply
99919,gorn_ja,mstdn.jp,406599,2023-07-05T06:43:08.000Z,Snapshot 2 — Post Settling (2023),reply
106931245556829621,GuyInBlack,mastodon.social,471607,2023-07-02T18:33:35.028Z,Snapshot 2 — Post Settling (2023),reply
109496425217938281,ImADifferentBird,mastodon.social,109146769285853896,2023-07-01T19:47:47.170Z,Snapshot 2 — Post Settling (2023),reply
109371451348234228,etis,masto.ai,109318612129288588,2023-07-01T18:24:54.000Z,Snapshot 2 — Post Settling (2023),reply
109306465462352143,djsaunders03,fosstodon.org,109344689785938532,2023-02-19T18:11:25.000Z,Snapshot 2 — Post Settling (2023),reply
108228417839083569,iamwahl,mastodon.social,109297289708350493,2022-11-26T19:22:59.845Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
115802368430157449,noodlemaz,mstdn.games,109375997767724171,2026-01-09T17:55:49.000Z,Snapshot 3 — Current State (2024–2026),reply
293726,poujolrost,mstdn.jp,110773962982960634,2025-03-13T16:11:51.000Z,Snapshot 3 — Current State (2024–2026),reply
108250592901197344,Jinji,donphan.social,111698193706945333,2025-03-07T23:55:30.000Z,Snapshot 3 — Current State (2024–2026),reply
113715141355440666,marcohoffmann,mastodon.social,109257374601163508,2024-12-27T09:26:54.414Z,Snapshot 3 — Current State (2024–2026),reply
109257374601163508,sebiturbo,muenchen.social,113715141355440666,2024-12-27T08:31:28.000Z,Snapshot 3 — Current State (2024–2026),reply
108222893204851107,drawnonglass,wandering.shop,113447470257745607,2024-11-17T01:32:48.000Z,Snapshot 3 — Current State (2024–2026),reply
109327300650965247,CGM,mastodon.scot,110266162634306901,2024-11-13T15:17:18.000Z,Snapshot 3 — Current State (2024–2026),reply
109251011265479084,radlschorsch,muenchen.social,107343019328706263,2023-10-26T20:10:44.000Z,Snapshot 2 — Post Settling (2023),reply
110858718037197726,GeriatricGardener,mastodon.social,109278204949699170,2023-08-13T12:07:30.550Z,Snapshot 2 — Post Settling (2023),reply
109322620844468831,Graygoose,mstdn.social,1275535,2023-07-21T19:21:24.000Z,Snapshot 2 — Post Settling (2023),reply
109831502804985182,3ChordRock,mastodon.social,109301022451147367,2023-07-04T09:41:15.758Z,Snapshot 2 — Post Settling (2023),reply
110640862723544040,SirViolentDeath,gamepad.club,109374534104279986,2023-07-03T00:43:52.000Z,Snapshot 2 — Post Settling (2023),reply
110640538113728279,mog7546,moth.social,109365953730768772,2023-07-02T21:55:00.000Z,Snapshot 2 — Post Settling (2023),reply
110640538113728279,mog7546,moth.social,109363999029220986,2023-07-02T21:51:28.000Z,Snapshot 2 — Post Settling (2023),reply
110640538113728279,mog7546,moth.social,108201257337764041,2023-07-02T21:42:10.000Z,Snapshot 2 — Post Settling (2023),reply
109258891747079648,dfroidmont,mastodon.green,109302805681160931,2023-07-02T21:04:40.000Z,Snapshot 2 — Post Settling (2023),reply
109831502804985182,3ChordRock,mastodon.social,110640965992958674,2023-07-02T15:26:40.327Z,Snapshot 2 — Post Settling (2023),reply
110640965992958674,Boudica_Buddug,mastodon.social,109831502804985182,2023-07-02T15:08:23.982Z,Snapshot 2 — Post Settling (2023),reply
110645059354288353,cadiciragi,mastodon.world,110563037427783244,2023-07-02T15:00:29.000Z,Snapshot 2 — Post Settling (2023),reply
1344753,samsethi,podcastindex.social,109828086887938325,2024-11-10T22:24:10.000Z,Snapshot 3 — Current State (2024–2026),reply
112301730502293252,JenJen27,mastodon.social,110640783122993007,2024-10-28T09:15:33.067Z,Snapshot 3 — Current State (2024–2026),reply
109571129740187669,scholar_farmer,zirk.us,112303447109614286,2024-10-17T23:45:17.000Z,Snapshot 3 — Current State (2024–2026),reply
474757,march,mstdn.io,455826,2024-06-11T12:00:38.000Z,Snapshot 3 — Current State (2024–2026),reply
109377390604424597,holly_berry,hachyderm.io,108554444486245752,2024-03-23T13:29:54.000Z,Snapshot 3 — Current State (2024–2026),reply
99919,gorn_ja,mstdn.jp,110273759047707717,2024-02-19T05:53:08.000Z,Snapshot 3 — Current State (2024–2026),reply
244782,carlbrown,mastodon.social,108193385994125194,2023-11-19T20:34:32.095Z,Snapshot 2 — Post Settling (2023),reply
109349309657524697,duncan_blues,norden.social,108193032039339512,2023-10-19T10:16:04.000Z,Snapshot 2 — Post Settling (2023),reply
109440322412097848,Sektorenkoppler,norden.social,111119433302528584,2023-10-11T20:36:59.000Z,Snapshot 2 — Post Settling (2023),reply
109349309657524697,duncan_blues,norden.social,109721390932598723,2023-10-09T17:23:05.000Z,Snapshot 2 — Post Settling (2023),reply
